データ識別番号,農場名,品目,圃場名,測定日,時期,圃場内位置,圃場内位置2,備考1,備考2,備考3,備考4,圧力[kPa]1cm,圧力[kPa]2cm,圧力[kPa]3cm,圧力[kPa]4cm,圧力[kPa]5cm,圧力[kPa]6cm,圧力[kPa]7cm,圧力[kPa]8cm,圧力[kPa]9cm,圧力[kPa]10cm,圧力[kPa]11cm,圧力[kPa]12cm,圧力[kPa]13cm,圧力[kPa]14cm,圧力[kPa]15cm,圧力[kPa]16cm,圧力[kPa]17cm,圧力[kPa]18cm,圧力[kPa]19cm,圧力[kPa]20cm,圧力[kPa]21cm,圧力[kPa]22cm,圧力[kPa]23cm,圧力[kPa]24cm,圧力[kPa]25cm,圧力[kPa]26cm,圧力[kPa]27cm,圧力[kPa]28cm,圧力[kPa]29cm,圧力[kPa]30cm,圧力[kPa]31cm,圧力[kPa]32cm,圧力[kPa]33cm,圧力[kPa]34cm,圧力[kPa]35cm,圧力[kPa]36cm,圧力[kPa]37cm,圧力[kPa]38cm,圧力[kPa]39cm,圧力[kPa]40cm,圧力[kPa]41cm,圧力[kPa]42cm,圧力[kPa]43cm,圧力[kPa]44cm,圧力[kPa]45cm,圧力[kPa]46cm,圧力[kPa]47cm,圧力[kPa]48cm,圧力[kPa]49cm,圧力[kPa]50cm,圧力[kPa]51cm,圧力[kPa]52cm,圧力[kPa]53cm,圧力[kPa]54cm,圧力[kPa]55cm,圧力[kPa]56cm,圧力[kPa]57cm,圧力[kPa]58cm,圧力[kPa]59cm,圧力[kPa]60cm,圧力[kPa]61cm,圧力[kPa]62cm,圧力[kPa]63cm,圧力[kPa]64cm,圧力[kPa]65cm,圧力[kPa]66cm,圧力[kPa]67cm,圧力[kPa]68cm,圧力[kPa]69cm,圧力[kPa]70cm,圧力[kPa]71cm,圧力[kPa]72cm,圧力[kPa]73cm,圧力[kPa]74cm,圧力[kPa]75cm,圧力[kPa]76cm,圧力[kPa]77cm,圧力[kPa]78cm,圧力[kPa]79cm,圧力[kPa]80cm,圧力[kPa]81cm,圧力[kPa]82cm,圧力[kPa]83cm,圧力[kPa]84cm,圧力[kPa]85cm,圧力[kPa]86cm,圧力[kPa]87cm,圧力[kPa]88cm,圧力[kPa]89cm,圧力[kPa]90cm
S-220512-00024,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,541,1071,1476,232,232,232,1506,232,232,232,1708,232,232,1708,232,232,232,232,232,232,1289,232,232,232,232,232,232,232,232,232,232,232,970,232,232,232,232,232,232,232,232,996,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00025,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,3,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,521,232,232,232,596,232,232,1264,1713,1845,232,232,232,232,232,232,1845,232,232,232,232,232,232,232,232,232,232,232,232,232,232,986,232,232,232,232,232,232,232,232,232,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00026,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,531,232,232,718,232,232,232,1228,1405,232,232,232,232,1456,232,232,232,232,232,232,232,232,232,1132,232,232,232,232,232,232,232,232,232,232,232,778,232,232,232,232,1147,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00027,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,339,682,935,232,232,232,232,232,232,1117,232,232,232,232,1294,232,232,232,232,232,232,1178,232,232,232,232,232,232,232,232,232,890,232,232,232,232,232,890,232,232,232,1107,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00028,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,308,672,232,232,955,232,232,232,232,232,232,1071,232,232,1233,232,232,232,232,1319,232,232,232,232,232,232,232,1208,232,232,232,232,232,232,1208,232,232,232,232,232,1208,1506,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00029,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,713,232,232,232,910,232,232,232,232,232,232,232,232,1021,232,232,232,232,232,232,232,232,232,232,232,874,232,232,232,232,232,1233,232,232,232,1294,232,232,232,1355,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00030,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,551,920,232,232,1092,232,232,232,232,232,232,232,1092,232,232,232,232,232,232,232,232,232,1056,232,232,232,232,232,232,232,232,232,232,232,996,232,232,232,232,232,232,981,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00031,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,242,849,1380,232,232,232,232,1410,232,232,232,232,232,232,232,232,1122,232,232,232,232,232,232,232,232,232,232,1046,232,232,232,232,232,232,232,1274,232,232,232,232,232,232,1531,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00032,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,505,232,232,232,814,232,232,232,1183,232,232,232,232,232,232,232,232,1142,232,232,232,232,232,232,232,232,232,232,232,232,1638,2411,2285,232,232,232,232,232,2330,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00033,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,273,232,232,915,232,232,232,232,1324,232,232,232,232,232,232,232,232,1193,232,232,232,232,232,232,232,232,232,232,232,232,1132,232,232,232,232,2290,2623,232,232,2623,283,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00034,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,606,232,232,1061,232,232,232,232,232,232,1228,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1021,232,232,232,232,232,232,232,232,232,232,232,232,1496,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00035,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,2,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,566,232,232,232,1071,232,232,232,232,1253,232,232,232,232,232,232,232,232,232,232,232,1248,232,232,232,232,232,232,232,232,232,2108,232,232,232,232,232,232,2224,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00036,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,414,232,232,940,232,232,1339,232,232,232,232,1370,232,232,232,232,232,232,232,232,232,232,232,232,970,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,637,232,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00037,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,399,991,232,232,1188,232,232,232,232,232,232,232,232,232,1203,232,232,232,232,232,232,232,232,232,232,232,232,232,1162,232,232,232,232,232,2259,2320,232,232,232,232,2628,283,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00038,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,571,849,232,232,232,1405,232,232,232,232,232,232,232,232,232,1385,232,232,232,232,232,232,232,232,232,232,232,232,232,1334,232,232,232,232,232,232,232,232,2553,232,232,2623,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00039,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,460,232,232,232,232,905,1218,232,232,232,232,232,232,232,232,232,900,232,232,232,232,232,232,232,232,232,232,232,232,232,1294,232,232,232,232,2416,232,232,232,232,2633,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00040,Agsoil,ラッカセイ,A,22.05.08,粗耕起,B,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,551,950,1334,232,232,232,232,1425,232,232,232,232,232,232,1531,232,232,232,232,232,232,232,232,232,232,232,1223,232,232,232,232,232,232,232,232,232,232,232,232,232,1269,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00041,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,237,677,1082,232,232,232,1365,232,232,232,1542,232,232,232,232,232,232,232,232,1375,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,834,232,232,232,232,2441,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00042,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,596,1031,232,232,232,232,232,232,1233,232,232,232,232,232,232,232,232,232,1319,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,935,232,232,232,232,232,232,232,2548,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00043,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,672,232,232,1066,1511,1825,232,232,2017,232,232,232,2143,232,232,232,232,2168,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1152,232,232,232,232,232,232,232,232,2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00044,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,1,,,,,232,232,232,232,232,232,232,232,232,232,349,571,232,232,895,232,232,1259,1537,1713,2047,2436,2628,2628,232,232,232,232,232,2628,232,232,232,232,232,232,232,232,232,232,232,1309,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,2204,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-220512-00045,Agsoil,ラッカセイ,A,22.05.08,粗耕起,A,1,,,,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,723,1061,232,232,232,232,1395,232,232,232,232,232,232,232,232,232,232,232,232,1395,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1142,232,232,2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
