çÄñ⁄,,1éûä‘ç~êÖó ÇÃç≈ëÂ,ïΩãœãCâ∑,ì˙è∆éûä‘,ç≈í·ãCâ∑,ç≈çÇãCâ∑,ç~êÖó ÇÃçáåv,êœéZïΩãœãCâ∑,êœéZì˙è∆éûä‘
42,10-26,0.0,12.8,10.4,8.1,19.4,0.0,836.0999999999998,193.50000000000003
43,10-27,0.0,13.3,1.4,9.4,17.7,0.0,849.3999999999997,194.90000000000003
44,10-28,0.0,15.0,2.2,12.4,18.8,0.0,864.3999999999997,197.10000000000002
45,10-29,0.0,15.5,9.6,11.9,20.7,0.0,879.8999999999997,206.70000000000002
46,10-30,0.0,14.9,6.6,12.3,19.3,0.0,894.7999999999997,213.3
47,10-31,0.0,15.7,9.2,11.9,19.4,0.0,910.4999999999998,222.5
48,11-01,0.0,15.2,0.0,13.9,16.3,0.0,925.6999999999998,222.5
49,11-02,0.0,17.1,10.2,13.6,23.2,0.0,942.7999999999998,232.7
50,11-03,0.0,16.5,10.1,11.3,22.8,0.0,959.2999999999998,242.79999999999998
51,11-04,0.0,15.7,10.1,10.9,21.3,0.0,974.9999999999999,252.89999999999998
52,11-05,0.0,14.5,5.0,11.7,19.7,0.0,989.4999999999999,257.9
53,11-06,0.0,13.7,9.8,9.8,19.5,0.0,1003.1999999999999,267.7
54,11-07,0.0,14.4,5.2,11.3,19.0,0.0,1017.5999999999999,272.9
55,11-08,0.0,14.4,10.0,8.1,21.6,0.0,1032.0,282.9
56,11-09,0.0,14.8,8.4,11.7,20.2,0.0,1046.8,291.29999999999995
57,11-10,0.0,14.6,9.9,9.1,20.7,0.0,1061.3999999999999,301.19999999999993
58,11-11,0.0,15.7,9.8,9.6,20.9,0.0,1077.1,310.99999999999994
59,11-12,0.0,16.5,9.7,12.6,22.7,0.0,1093.6,320.69999999999993
60,11-13,7.5,16.9,2.6,13.9,21.9,22.0,1110.5,323.29999999999995
61,11-14,0.0,14.3,1.0,11.3,18.0,0.0,1124.8,324.29999999999995
62,11-15,0.0,13.3,6.3,9.4,18.4,0.0,1138.1,330.59999999999997
63,11-16,0.0,11.6,9.8,6.6,17.5,0.0,1149.6999999999998,340.4
64,11-17,0.0,11.2,7.5,5.2,17.8,0.0,1160.8999999999999,347.9
65,11-18,0.0,12.4,9.6,8.3,18.7,0.0,1173.3,357.5
66,11-19,0.0,13.2,7.7,7.4,18.9,0.0,1186.5,365.2
67,11-20,2.5,13.3,0.0,12.0,15.1,4.0,1199.8,365.2
68,11-21,6.0,14.8,6.6,12.1,20.4,16.5,1214.6,371.8
69,11-22,0.0,15.3,5.0,11.8,19.8,0.0,1229.8999999999999,376.8
70,11-23,5.5,13.0,0.0,12.1,15.3,28.5,1242.8999999999999,376.8
71,11-24,1.0,14.6,8.3,10.6,20.1,0.0,1257.4999999999998,385.1
72,11-25,0.0,13.7,9.6,10.7,17.8,0.0,1271.1999999999998,394.70000000000005
73,11-26,1.0,14.1,1.2,10.4,18.7,1.0,1285.2999999999997,395.90000000000003
74,11-27,0.0,13.8,8.1,8.6,18.5,0.0,1299.0999999999997,404.00000000000006
75,11-28,2.0,14.3,0.0,12.2,17.2,6.5,1313.3999999999996,404.00000000000006
76,11-29,14.0,17.7,0.0,14.3,20.3,52.5,1331.0999999999997,404.00000000000006
77,11-30,9.5,15.2,3.2,9.0,20.3,6.5,1346.2999999999997,407.20000000000005
78,12-01,0.0,9.1,1.1,5.8,14.6,0.0,1355.3999999999996,408.30000000000007
79,12-02,0.0,7.9,8.3,4.2,13.1,0.0,1363.2999999999997,416.6000000000001
80,12-03,0.0,9.0,2.8,4.6,15.1,0.0,1372.2999999999997,419.4000000000001
81,12-04,0.0,10.2,6.3,4.4,15.8,0.0,1382.4999999999998,425.7000000000001
82,12-05,0.5,10.9,2.1,8.0,15.6,1.0,1393.3999999999999,427.8000000000001
83,12-06,1.0,8.8,9.4,5.4,13.8,1.0,1402.1999999999998,437.2000000000001
84,12-07,0.0,7.0,7.5,3.9,11.7,0.0,1409.1999999999998,444.7000000000001
85,12-08,0.0,8.7,9.1,5.1,14.6,0.0,1417.8999999999999,453.8000000000001
86,12-09,0.0,8.0,9.3,3.4,15.0,0.0,1425.8999999999999,463.10000000000014
87,12-10,0.0,10.4,8.9,4.9,15.3,0.0,1436.3,472.0000000000001
88,12-11,0.0,10.7,8.0,5.8,15.3,0.0,1447.0,480.0000000000001
89,12-12,0.0,8.6,9.2,3.5,12.0,0.0,1455.6,489.2000000000001
90,12-13,2.5,8.4,2.9,6.3,12.0,8.0,1464.0,492.1000000000001
91,12-14,0.0,6.1,8.4,0.9,10.2,0.0,1470.1,500.50000000000006
92,12-15,0.0,3.7,9.3,0.6,8.2,0.0,1473.8,509.80000000000007
93,12-16,0.0,5.6,9.2,1.9,11.2,0.0,1479.3999999999999,519.0000000000001
94,12-17,1.5,4.3,0.0,1.8,6.8,3.5,1483.6999999999998,519.0000000000001
95,12-18,0.0,2.0,8.8,-2.9,5.2,0.0,1485.6999999999998,527.8000000000001
96,12-19,0.0,0.8,9.2,-4.2,6.1,0.0,1486.4999999999998,537.0000000000001
97,12-20,0.0,3.4,9.2,-0.8,10.0,0.0,1489.8999999999999,546.2000000000002
98,12-21,0.0,6.7,6.6,1.1,11.3,0.0,1496.6,552.8000000000002
99,12-22,8.0,7.8,3.5,1.3,12.4,18.0,1504.3999999999999,556.3000000000002
100,12-23,0.0,1.0,8.5,-2.4,4.2,0.0,1505.3999999999999,564.8000000000002
101,12-24,0.0,1.7,9.1,-2.6,6.6,0.0,1507.1,573.9000000000002
102,12-25,0.0,4.5,9.2,-0.6,11.1,0.0,1511.6,583.1000000000003
103,12-26,0.0,4.2,9.3,0.0,9.5,0.0,1515.8,592.4000000000002
104,12-27,0.0,4.9,9.3,-1.4,11.7,0.0,1520.7,601.7000000000002
105,12-28,0.0,6.9,9.1,1.6,11.9,0.0,1527.6000000000001,610.8000000000002
106,12-29,0.0,6.5,9.3,3.1,11.3,0.0,1534.1000000000001,620.1000000000001
107,12-30,0.0,4.6,9.3,1.0,10.5,0.0,1538.7,629.4000000000001
108,12-31,0.0,4.6,8.7,-1.1,11.0,0.0,1543.3,638.1000000000001
109,01-01,0.0,5.8,9.3,0.9,12.2,0.0,1549.1,647.4000000000001
110,01-02,0.0,5.7,9.4,0.7,10.9,0.0,1554.8,656.8000000000001
111,01-03,0.0,3.5,9.4,-1.9,10.0,0.0,1558.3,666.2
112,01-04,0.0,2.7,9.3,-1.4,8.3,0.0,1561.0,675.5
113,01-05,0.0,3.1,9.1,-2.5,10.8,0.0,1564.1,684.6
114,01-06,0.0,4.1,7.4,-0.7,10.7,0.0,1568.1999999999998,692.0
115,01-07,0.0,4.7,8.9,-0.4,10.9,0.0,1572.8999999999999,700.9
116,01-08,0.0,5.6,9.4,0.3,12.9,0.0,1578.4999999999998,710.3
117,01-09,0.0,6.7,9.3,1.6,12.3,0.0,1585.1999999999998,719.5999999999999
118,01-10,0.0,5.0,9.5,0.3,9.1,0.0,1590.1999999999998,729.0999999999999
119,01-11,0.0,6.8,9.5,0.8,12.9,0.0,1596.9999999999998,738.5999999999999
120,01-12,0.0,6.8,9.4,-2.5,15.3,0.0,1603.7999999999997,747.9999999999999
121,01-13,3.0,10.1,6.9,4.9,16.0,5.0,1613.8999999999996,754.8999999999999
122,01-14,10.0,12.5,0.0,10.1,14.2,24.5,1626.3999999999996,754.8999999999999
123,01-15,1.5,12.3,0.6,10.7,15.6,3.0,1638.6999999999996,755.4999999999999
124,01-16,1.0,9.3,4.4,3.2,12.5,0.5,1647.9999999999995,759.8999999999999
125,01-17,0.0,6.1,4.2,2.2,10.0,0.0,1654.0999999999995,764.0999999999999
126,01-18,0.0,7.2,3.3,4.0,12.1,0.0,1661.2999999999995,767.3999999999999
127,01-19,0.0,6.8,5.2,3.5,11.1,0.0,1668.0999999999995,772.5999999999999
128,01-20,0.0,5.7,9.5,-0.7,11.3,0.0,1673.7999999999995,782.0999999999999
